caseId,randomFileName,formatId,formatName,group,method,selectedLayout,cases,ratings,averageManualScore,score0Count,score1Count,score2Count,readabilityOkRate,requiredPreservedRate,majorOverlapRate,evaluatorIds,fullAgreement,strongDisagreement,comments
case_011,case_011.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Вертикальный макет собран корректно, элементы не конфликтуют|Заголовок близко к границе, требуется правка"
case_012,case_012.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Оптимальное заполнение вертикального формата, коллизий нет|Заголовок близко к границе, требуется правка"
case_013,case_013.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,"Стандартный квадратный формат, пропорции элементов удержаны|Заголовок пересекается с изображением"
case_014,case_014.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Чистая структура без пересечения bounding box-ов|Пригодно как стартовая заготовка
case_015,case_015.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,"Готовая заготовка, дефектов рендеринга не обнаружено|Пересечение декоративных элементов|Пригодно как стартовая заготовка"
case_016,case_016.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,"В узком формате текст вышел за границы макета, шрифты нечитаемы|Текст слишком мелкий в узком формате"
case_017,case_017.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Узкий формат обработан корректно, элементы выстроены в стек|Пригодно как стартовая заготовка"
case_018,case_018.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Элементы спозиционированы по вертикали без наложений|Пригодно как стартовая заготовка
case_019,case_019.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,scaling,scaling,1,3,1.3333333333333333,0,2,1,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,Незначительное нарушение охранной зоны логотипа|Текст частично заходит на изображение
case_020,case_020.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,fixedLayout,fixedLayout,1,3,1,1,1,1,0.6666666666666666,1,0.6666666666666666,evaluator-1|evaluator-2|control-assistant,false,true,Элементы составного логотипа наложились друг на друга при сжатии холста|Пересечение декоративных элементов|Пригодно как стартовая заготовка
case_021,case_021.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,candidateSelection,hero,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Выбрана альтернативная стратегия hero; требуется корректировка полей знака|Крупный текст слишком близко к краю
case_022,case_022.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Критический оверлап основного УТП и фоновой подложки|Мелкий текст в широком формате
case_023,case_023.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Требуется ручное выравнивание базовой линии текстовых блоков|Пригодно как стартовая заготовка
case_024,case_024.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Результат требует косметической доработки внутренних отступов контейнера|Пригодно как стартовая заготовка
case_025,case_025.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,scaling,scaling,1,3,1,1,1,1,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,"Выход текстового блока за правое поле баннера, обрез контента|Элементы близко к верхней границе, требуется правка полей"
case_026,case_026.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,fixedLayout,fixedLayout,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Нарушена иерархия размеров шрифтов, текст слишком мелкий|Плотная компоновка, строка заголовка перегружена"
case_027,case_027.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,candidateSelection,split,1,3,1.3333333333333333,0,2,1,1,0.6666666666666666,0,evaluator-1|evaluator-2|control-assistant,false,false,"Стратегия split разделила контент, требуется выравнивание текстового блока по центру|Содержательная часть заголовка потеряна или обрезана"
case_028,case_028.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Легкое размытие и потеря четкости растрового фона при масштабировании|Пригодно как стартовая заготовка
case_029,case_029.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Фоновое изображение кадрировано корректно|Пригодно как стартовая заготовка
case_030,case_030.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Фон распределен без искажений геометрии|Пригодно как стартовая заготовка
case_031,case_031.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Вертикальная композиция полностью стабильна|Узкая текстовая зона, требуется корректировка"
case_032,case_032.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Нарушений безопасных зон площадки не обнаружено|Пригодно как стартовая заготовка
case_033,case_033.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Чистая структура вертикального баннера|Пригодно как стартовая заготовка
case_034,case_034.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Квадратный фон адаптирован без артефактов растяжения|Текстовая зона узкая, требуется выравнивание"
case_035,case_035.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,Ошибок позиционирования слоев не зафиксировано|Пересечение декоративных элементов|Пригодно как стартовая заготовка
case_036,case_036.png,2gis-search-bg-500x600,2ГИС Рекламный блок в поисковой выдаче: фон,square,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Композиционный центр сохранен, дефекты отсутствуют|Пригодно как стартовая заготовка"
case_037,case_037.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,scaling,scaling,1,3,1.3333333333333333,0,2,1,0.6666666666666666,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Избыточное пустое пространство в нижней трети макета|Текст слишком мелкий в узком формате
case_038,case_038.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Узкий вертикальный макет собран по сетке без ошибок|Пригодно как стартовая заготовка
case_039,case_039.png,yandex-rsy-240x600,Яндекс Директ / РСЯ Медийный баннер 240x600,narrow,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Хорошая читаемость акцентных элементов и CTA|Пригодно как стартовая заготовка
case_040,case_040.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Минорное нарушение безопасного отступа торгового знака|Пригодно как стартовая заготовка
case_041,case_041.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,fixedLayout,fixedLayout,1,3,1.3333333333333333,1,0,2,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Наложение дескриптора на графическую часть товарного знака|Пригодно как стартовая заготовка
case_042,case_042.png,2gis-logo-range,2ГИС Логотип компании 132-3000,logo,candidateSelection,hero,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Требуется ручное центрирование логотипа внутри охранного контейнера|Заголовок слишком близко к левому краю
case_043,case_043.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Сплющивание и деформация шрифта по вертикальной оси|Мелкий текст в широком формате
case_044,case_044.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Кегль шрифта на грани фола, требуется ручное увеличение межбуквенного интервала|Пригодно как стартовая заготовка"
case_045,case_045.png,yandex-rsy-320x50,Яндекс Директ / РСЯ Медийный баннер 320x50,small,candidateSelection,fixedLayout,1,3,1.3333333333333333,0,2,1,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,"Элементы не пересекаются, но текст требует увеличения контрастности|Пересечение декоративных элементов|Пригодно как стартовая заготовка"
case_046,case_046.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Наложение слоев из-за ошибочного scale-коэффициента при ресайзе|Мелкий текст в широком формате
case_047,case_047.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Качественная стартовая заготовка, правок не требуется|Пригодно как стартовая заготовка"
case_048,case_048.png,yandex-rsy-640x100-2x,Яндекс Директ / РСЯ Медийный баннер 640x100 (2x),wide,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Элементы корректно распределены по всей ширине макета|Пригодно как стартовая заготовка
case_049,case_049.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,scaling,scaling,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Нарушен баланс правого и левого полей (заваливание композиции)|Слишком мелкие второстепенные элементы
case_050,case_050.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Сборка макета выполнена штатно, коллизий нет|Пригодно как стартовая заготовка"
case_051,case_051.png,2gis-partner-desktop-800x320,2ГИС Баннер в профиле партнера desktop,horizontal,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Четкое разделение графического и текстового блоков|Пригодно как стартовая заготовка
case_052,case_052.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Вертикальный формат сторис отработан без замечаний|Узкая текстовая зона требует ручной корректировки
case_053,case_053.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Элементы позиционированы с учетом безопасных зон сверху и снизу|Текст и CTA слишком мелкие
case_054,case_054.png,2gis-story-810x1440,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Сбалансированная вертикальная структура макета|Пригодно как стартовая заготовка
case_055,case_055.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,scaling,scaling,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Нативный формат 1:1 собран корректно, искажений нет|Пригодно как стартовая заготовка"
case_056,case_056.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,fixedLayout,fixedLayout,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Требуется косметическая правка отступов текстового блока|Текст внизу близко к краю и мелкий
case_057,case_057.png,avito-native-472x472,Авито Реклама Нативный баннер 1:1,square,candidateSelection,imageTop,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Успешная отработка стратегии imageTop, хорошая композиция для карточки товара|Заголовок перегружен по ширине"
case_058,case_058.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,scaling,scaling,1,3,1,1,1,1,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Элементы миниатюры слились в единое нечитаемое пятно|Плотная компоновка в малом формате
case_059,case_059.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,fixedLayout,fixedLayout,1,3,1.3333333333333333,1,0,2,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Текст полностью перекрыл графический маркер сообщества|Пригодно как стартовая заготовка
case_060,case_060.png,vk-community-145x145,VK Реклама / ВКонтакте Продвижение сообщества,logo,candidateSelection,compact,1,3,0.6666666666666666,1,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,evaluator-1|evaluator-2|control-assistant,false,false,Кнопка действия расположена слишком близко к границе безопасной зоны|Пересечение декоративных элементов|Критическое сжатие: текст разорван и наложен между блоками
case_061,case_061.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Перекрытие основного заголовка второстепенным описанием|Мелкий текст в широком формате
case_062,case_062.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Удачная адаптация под горизонтальный медийный формат|Пригодно как стартовая заготовка
case_063,case_063.png,yandex-rsy-728x90,Яндекс Директ / РСЯ Медийный баннер 728x90,wide,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Плотное сжатие выполнено без потери читаемости символов|Пригодно как стартовая заготовка
case_064,case_064.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,scaling,scaling,1,3,1.3333333333333333,0,2,1,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Избыточный трекинг шрифта, текст выглядит разреженным|Слишком мелкий текст, требуется ручная правка"
case_065,case_065.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Композиция полностью стабильна, элементы на местах|Пригодно как стартовая заготовка"
case_066,case_066.png,avito-display-720x240,Авито Реклама Медийный стандарт 3:1,horizontal,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Зонирование контента выполнено без взаимных перекрытий|Пригодно как стартовая заготовка
case_067,case_067.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Дефектов отрисовки и наложения слоев не обнаружено|Узкая текстовая зона требует правки
case_068,case_068.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Полное соответствие техническим требованиям площадки размещения|Пригодно как стартовая заготовка
case_069,case_069.png,2gis-story-900x1600,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Визуальные акценты макета расставлены корректно|Пригодно как стартовая заготовка
case_070,case_070.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,scaling,scaling,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Социальный квадрат собран без геометрических искажений|Пригодно как стартовая заготовка
case_071,case_071.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Элементы жестко зафиксированы по координатной сетке|Текст и CTA слишком близко к нижней зоне
case_072,case_072.png,ok-square-1080x1080,Одноклассники / myTarget Социальный квадрат 1:1,square,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Готовый технический макет, артефактов нет|Текст и CTA слишком близко к нижней зоне"
case_073,case_073.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,scaling,scaling,1,3,1,1,1,1,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Графическая иконка тизера перекрыла текстовый контейнер|Плотная текстовая зона в тизере
case_074,case_074.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,fixedLayout,fixedLayout,1,3,1.3333333333333333,1,0,2,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Текстовый блок вышел за нижний обрез баннера|Пригодно как стартовая заготовка
case_075,case_075.png,vk-teaser-large-145x165,VK Реклама / ВКонтакте Тизер большое изображение,logo,candidateSelection,compact,1,3,0.6666666666666666,1,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,evaluator-1|evaluator-2|control-assistant,false,false,"Плотное расположение элементов, рекомендуется уменьшить кегль описания|Пересечение декоративных элементов|Критическое сжатие: текст разорван и наложен между блоками"
case_076,case_076.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Графика и текст адаптированы под широкую пропорцию 8:3|Слишком мелкие второстепенные элементы
case_077,case_077.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Проблемы с читаемостью и коллизиями отсутствуют|Пригодно как стартовая заготовка
case_078,case_078.png,avito-home-1320x492,Авито Реклама Баннер на главной 8:3,horizontal,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Компоновка по схеме split выполнена корректно|Пригодно как стартовая заготовка
case_079,case_079.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,scaling,scaling,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Вертикальное соотношение сторон 3:4 выдержано полностью|Пригодно как стартовая заготовка
case_080,case_080.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Элементы распределены по высоте без нарушений safe-area|Пригодно как стартовая заготовка
case_081,case_081.png,avito-display-472x628,Авито Реклама Медийный стандарт 3:4,vertical,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Ключевой композиционный элемент зафиксирован по центру|Пригодно как стартовая заготовка
case_082,case_082.png,ozon-fresh-square,Ozon Performance Квадратный 1:1,square,scaling,scaling,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Искажений пропорций товарного баннера не зафиксировано|Пригодно как стартовая заготовка
case_083,case_083.png,ozon-fresh-square,Ozon Performance Квадратный 1:1,square,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Сетка макета маркетплейса отработала в штатном режиме|Нижняя зона текста перегружена
case_084,case_084.png,ozon-fresh-square,Ozon Performance Квадратный 1:1,square,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Чистый графический вывод, готовый к финальному рендерингу|Нижняя зона текста перегружена"
case_085,case_085.png,avito-home-2934x456,Авито Реклама Баннер на главной 13:2,horizontal,scaling,scaling,1,3,1.3333333333333333,0,2,1,0.6666666666666666,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,Экстремальная ширина 13:2 обработана без критических багов|Пересечение декоративных элементов|Мелкий текст в широком формате
case_086,case_086.png,avito-home-2934x456,Авито Реклама Баннер на главной 13:2,horizontal,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,0.6666666666666666,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Отсутствуют наложения элементов при сильном горизонтальном растяжении|Мелкий текст в широком формате
case_087,case_087.png,avito-home-2934x456,Авито Реклама Баннер на главной 13:2,horizontal,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,0.6666666666666666,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Текстовые данные и растр изолированы друг от друга в пространстве холста|Мелкий текст в широком формате
case_088,case_088.png,avito-display-600x1200,Авито Реклама Медийный стандарт 1:2,vertical,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Удлиненный вертикальный формат собран без дефектов геометрии|Узкая текстовая зона требует правки
case_089,case_089.png,avito-display-600x1200,Авито Реклама Медийный стандарт 1:2,vertical,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Элементы интерфейса не сбились в кучу, иерархия сохранена|Пригодно как стартовая заготовка"
case_090,case_090.png,avito-display-600x1200,Авито Реклама Медийный стандарт 1:2,vertical,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,false,Корректное заполнение свободного пространства баннера|Пересечение декоративных элементов|Пригодно как стартовая заготовка
