caseId,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_050,2,yes,yes,no,"Сборка макета выполнена штатно, коллизий нет"
case_051,2,yes,yes,no,Четкое разделение графического и текстового блоков
case_052,2,yes,yes,no,Вертикальный формат сторис отработан без замечаний
case_053,2,yes,yes,no,Элементы позиционированы с учетом безопасных зон сверху и снизу
case_054,2,yes,yes,no,Сбалансированная вертикальная структура макета
case_055,2,yes,yes,no,"Нативный формат 1:1 собран корректно, искажений нет"
case_056,1,yes,yes,no,Требуется косметическая правка отступов текстового блока
case_057,2,yes,yes,no,"Успешная отработка стратегии imageTop, хорошая композиция для карточки товара"
case_058,0,no,yes,yes,Элементы миниатюры слились в единое нечитаемое пятно
case_059,0,no,yes,yes,Текст полностью перекрыл графический маркер сообщества
case_060,1,yes,yes,no,Кнопка действия расположена слишком близко к границе безопасной зоны
case_061,0,no,yes,yes,Перекрытие основного заголовка второстепенным описанием
case_062,2,yes,yes,no,Удачная адаптация под горизонтальный медийный формат
case_063,2,yes,yes,no,Плотное сжатие выполнено без потери читаемости символов
case_064,1,yes,yes,no,"Избыточный трекинг шрифта, текст выглядит разреженным"
case_065,2,yes,yes,no,"Композиция полностью стабильна, элементы на местах"
case_066,2,yes,yes,no,Зонирование контента выполнено без взаимных перекрытий
case_067,2,yes,yes,no,Дефектов отрисовки и наложения слоев не обнаружено
case_068,2,yes,yes,no,Полное соответствие техническим требованиям площадки размещения
case_069,2,yes,yes,no,Визуальные акценты макета расставлены корректно
case_070,2,yes,yes,no,Социальный квадрат собран без геометрических искажений
case_071,2,yes,yes,no,Элементы жестко зафиксированы по координатной сетке
case_072,2,yes,yes,no,"Готовый технический макет, артефактов нет"
case_073,0,no,yes,yes,Графическая иконка тизера перекрыла текстовый контейнер
case_074,0,no,yes,yes,Текстовый блок вышел за нижний обрез баннера
case_075,1,yes,yes,no,"Плотное расположение элементов, рекомендуется уменьшить кегль описания"
case_076,2,yes,yes,no,Графика и текст адаптированы под широкую пропорцию 8:3
case_077,2,yes,yes,no,Проблемы с читаемостью и коллизиями отсутствуют
case_078,2,yes,yes,no,Компоновка по схеме split выполнена корректно
case_079,2,yes,yes,no,Вертикальное соотношение сторон 3:4 выдержано полностью
case_080,2,yes,yes,no,Элементы распределены по высоте без нарушений safe-area
case_081,2,yes,yes,no,Ключевой композиционный элемент зафиксирован по центру
case_082,2,yes,yes,no,Искажений пропорций товарного баннера не зафиксировано
case_083,2,yes,yes,no,Сетка макета маркетплейса отработала в штатном режиме
case_084,2,yes,yes,no,"Чистый графический вывод, готовый к финальному рендерингу"
case_085,2,yes,yes,no,Экстремальная ширина 13:2 обработана без критических багов
case_086,2,yes,yes,no,Отсутствуют наложения элементов при сильном горизонтальном растяжении
case_087,2,yes,yes,no,Текстовые данные и растр изолированы друг от друга в пространстве холста
case_088,2,yes,yes,no,Удлиненный вертикальный формат собран без дефектов геометрии
case_089,2,yes,yes,no,"Элементы интерфейса не сбились в кучу, иерархия сохранена"
case_090,2,yes,yes,no,Корректное заполнение свободного пространства баннера
